Median,LowestValue,HighestValue,LowerQ,UpperQ,StandardDev
5.0,1,1318,2.0,10.0,16.282475314177852
4.0,1,1372,2.0,8.0,10.633715031194045
4.0,1,336,2.0,7.0,9.815236642715357
39.0,1,1188,15.0,92.0,101.27835054005104
34.0,1,3299,13.0,74.0,66.236146112445326
8.0,0,17997,1.0,31.0,312.45999947386696
7.0,0,29935,1.0,37.0,378.07272554713268
6.0,0,49162,1.0,25.0,453.70518302180687
5.0,0,80674,1.0,28.0,540.89289184097356
4.0,0,131503,1.0,28.0,640.96572832072752
4.0,0,213904,0.0,21.0,755.62879809067454
10.0,0,24,8.0,12.0,3.1550893632472099
10.0,0,27,8.0,13.0,3.2478090336519236
11.0,0,28,9.0,13.0,3.3442200804535505
12.0,0,31,9.0,14.0,3.4485489368497926
12.0,0,30,10.0,15.0,3.5434506780709185
13.0,0,36,11.0,15.0,3.6282560457134294
14.0,0,37,11.0,16.0,3.7326398803644776
14.0,0,36,12.0,17.0,3.8123324216016479
15.0,0,40,12.0,18.0,3.8955145020947728
16.0,0,40,13.0,18.0,3.9800650357918763
