NumVertices,NumEdges,Time,Algo
268495,1156647,14.4882,Jain
227320,814134,6.47712,Jain
299067,977676,7.25242,Jain
434102,16036720,561.671,Jain
540486,15245729,368.949,Jain
65536,2456071,801.174,Jain
131072,5113985,2335.5,Jain
262144,10582686,7664.17,Jain
524288,21780787,23816.0,Jain
1048576,44619402,73519.0,Jain
2097152,91040932,220402.0,Jain
32768,160240,2.24902,Jain
65536,342127,2.95126,Jain
131072,728753,4.31974,Jain
262144,1547283,7.35805,Jain
524288,3269766,13.6054,Jain
1048576,6891620,28.7178,Jain
2097152,14487995,59.9472,Jain
4194304,30359198,127.057,Jain
8388608,63501393,187.863,Jain
16777216,132557200,580.559,Jain
