NumVertices,NumEdges,Time,Algo
268495,1156647,15.1523,Polak
227320,814134,11.1156,Polak
299067,977676,12.7761,Polak
434102,16036720,382.154,Polak
540486,15245729,295.429,Polak
65535,2456071,121.758,Polak
131068,5113985,319.4,Polak
262144,10582686,839.326,Polak
524287,21780787,2227.26,Polak
1048576,44619402,6182.98,Polak
2097152,91040932,22232.1,Polak
32768,160240,4.50464,Polak
65536,342127,5.69194,Polak
131072,728753,10.0932,Polak
262144,1547283,18.8945,Polak
524288,3269766,38.5329,Polak
1048576,6891620,78.7764,Polak
2097152,14487995,165.981,Polak
4194304,30359198,353.248,Polak
8388608,63501393,790.902,Polak
16777216,132557200,1860.4,Polak
